epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.6748632788658142
,,,1,,,,,,0.6911441683769226
,,,2,,,,,,0.6896203756332397
0,0.7793868184089661,0.8467742204666138,5,,,,,0.6848623156547546,
0,,,5,,,0.7072213888168335,,,
1,,,9,,,,0.6671003699302673,,
,,,3,,,,,,0.6057965159416199
,,,4,,,,,,0.6585804224014282
,,,5,,,,,,0.690613865852356
1,0.966292142868042,0.967391312122345,11,,,,,0.6486001014709473,
1,,,11,,,0.6784356832504272,,,
,,,6,,,,,,0.5539711713790894
,,,7,,,,,,0.635045051574707
,,,8,,,,,,0.6918672919273376
2,0.920707643032074,0.9280185699462891,17,,,,,0.621856153011322,
2,,,17,,,0.63975989818573,,,
3,,,19,,,,0.618680477142334,,
,,,9,,,,,,0.5186469554901123
,,,10,,,,,,0.6177582144737244
,,,11,,,,,,0.6924059987068176
3,0.8970040082931519,0.918181836605072,23,,,,,0.6030911803245544,
3,,,23,,,0.618888258934021,,,
4,,,29,,,,0.5735312104225159,,
,,,12,,,,,,0.4888952970504761
,,,13,,,,,,0.6026269793510437
,,,14,,,,,,0.6926468014717102
4,0.8612266182899475,0.8965517282485962,29,,,,,0.5870211124420166,
4,,,29,,,0.6006464958190918,,,
,,,15,,,,,,0.465065062046051
,,,16,,,,,,0.5903016924858093
,,,17,,,,,,0.6926411390304565
5,0.8612266182899475,0.8965517282485962,35,,,,,0.5740198493003845,
5,,,35,,,0.5844678282737732,,,
6,,,39,,,,0.5799733400344849,,
,,,18,,,,,,0.445224404335022
,,,19,,,,,,0.5803985595703125
,,,20,,,,,,0.692828893661499
6,0.8367400169372559,0.8833333253860474,41,,,,,0.5633781552314758,
6,,,41,,,0.568878710269928,,,
,,,21,,,,,,0.4295349419116974
,,,22,,,,,,0.5719581246376038
,,,23,,,,,,0.6915157437324524
7,0.908717930316925,0.9259259104728699,47,,,,,0.5543333888053894,
7,,,47,,,0.5597791075706482,,,
8,,,49,,,,0.5246052145957947,,
,,,24,,,,,,0.4184640645980835
,,,25,,,,,,0.5658484101295471
,,,26,,,,,,0.6905137300491333
8,0.9433625936508179,0.9509803652763367,53,,,,,0.5478746294975281,
8,,,53,,,0.5567972660064697,,,
9,,,59,,,,0.5191106796264648,,
,,,27,,,,,,0.4110134243965149
,,,28,,,,,,0.5611666440963745
,,,29,,,,,,0.6887329816818237
9,1.0,1.0,59,,,,,0.5430122017860413,
9,,,59,,,0.5514137744903564,,,
,,,30,,,,,,0.4025481939315796
,,,31,,,,,,0.5558542013168335
,,,32,,,,,,0.686331033706665
10,1.0,1.0,65,,,,,0.5373837351799011,
10,,,65,,,0.543406069278717,,,
11,,,69,,,,0.5082873106002808,,
,,,33,,,,,,0.39577755331993103
,,,34,,,,,,0.551748514175415
,,,35,,,,,,0.6846102476119995
11,1.0,1.0,71,,,,,0.5329897403717041,
11,,,71,,,0.5372800827026367,,,
,,,36,,,,,,0.39032888412475586
,,,37,,,,,,0.5482818484306335
,,,38,,,,,,0.6828473806381226
12,1.0,1.0,77,,,,,0.5292890667915344,
12,,,77,,,0.5355337262153625,,,
13,,,79,,,,0.5993169546127319,,
,,,39,,,,,,0.38689807057380676
,,,40,,,,,,0.5451761484146118
,,,41,,,,,,0.6799845695495605
13,1.0,1.0,83,,,,,0.526134729385376,
13,,,83,,,0.5323464870452881,,,
14,,,89,,,,0.47125375270843506,,
,,,42,,,,,,0.38395994901657104
,,,43,,,,,,0.5421454906463623
,,,44,,,,,,0.6769207119941711
14,1.0,1.0,89,,,,,0.5231279730796814,
14,,,89,,,0.5268784761428833,,,
,,,45,,,,,,0.3794324994087219
,,,46,,,,,,0.5390108823776245
,,,47,,,,,,0.6746243834495544
15,1.0,1.0,95,,,,,0.5197280645370483,
15,,,95,,,0.5229690074920654,,,
16,,,99,,,,0.5498340725898743,,
,,,48,,,,,,0.37527185678482056
,,,49,,,,,,0.5359294414520264
,,,50,,,,,,0.6719716787338257
16,1.0,1.0,101,,,,,0.5163789987564087,
16,,,101,,,0.5237706303596497,,,
,,,51,,,,,,0.3734129071235657
,,,52,,,,,,0.5336036086082458
,,,53,,,,,,0.6691181063652039
17,1.0,1.0,107,,,,,0.5140727758407593,
17,,,107,,,0.5200817584991455,,,
18,,,109,,,,0.5122420787811279,,
,,,54,,,,,,0.371360182762146
,,,55,,,,,,0.5310519337654114
,,,56,,,,,,0.6660497188568115
18,1.0,1.0,113,,,,,0.5115554332733154,
18,,,113,,,0.5167286396026611,,,
19,,,119,,,,0.49645429849624634,,
,,,57,,,,,,0.36996445059776306
,,,58,,,,,,0.5287306308746338
,,,59,,,,,,0.662857711315155
19,1.0,1.0,119,,,,,0.5093223452568054,
19,,,119,,,0.5123199224472046,,,
,,,0,,0.36996445059776306,,,,
,,,1,,0.5287306308746338,,,,
,,,2,,0.662857711315155,,,,
20,,,120,0.5093223452568054,,,,,
