epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.48583298921585083
,,,1,,,,,,0.6070058345794678
,,,2,,,,,,0.6872072219848633
0,1.0,1.0,5,,,,,0.584816038608551,
0,,,5,,,0.625008225440979,,,
1,,,9,,,,0.5888971090316772,,
,,,3,,,,,,0.47532448172569275
,,,4,,,,,,0.6032776832580566
,,,5,,,,,,0.6884850859642029
1,1.0,1.0,11,,,,,0.5799875855445862,
1,,,11,,,0.5956305265426636,,,
,,,6,,,,,,0.4564521014690399
,,,7,,,,,,0.5954625010490417
,,,8,,,,,,0.6881165504455566
2,1.0,1.0,17,,,,,0.5701825618743896,
2,,,17,,,0.5762583017349243,,,
3,,,19,,,,0.5713670253753662,,
,,,9,,,,,,0.4350396692752838
,,,10,,,,,,0.5871001482009888
,,,11,,,,,,0.6881145238876343
3,1.0,1.0,23,,,,,0.5593547821044922,
3,,,23,,,0.5648030638694763,,,
4,,,29,,,,0.5702182650566101,,
,,,12,,,,,,0.4186345040798187
,,,13,,,,,,0.580109715461731
,,,14,,,,,,0.6866516470909119
4,1.0,1.0,29,,,,,0.5504483580589294,
4,,,29,,,0.5516964793205261,,,
,,,15,,,,,,0.4056961238384247
,,,16,,,,,,0.5751241445541382
,,,17,,,,,,0.685985803604126
5,1.0,1.0,35,,,,,0.5437489151954651,
5,,,35,,,0.5451942086219788,,,
6,,,39,,,,0.5730509757995605,,
,,,18,,,,,,0.39503371715545654
,,,19,,,,,,0.5704948902130127
,,,20,,,,,,0.6843134760856628
6,1.0,1.0,41,,,,,0.5377322435379028,
6,,,41,,,0.5369236469268799,,,
,,,21,,,,,,0.38581007719039917
,,,22,,,,,,0.5662000179290771
,,,23,,,,,,0.6823647022247314
7,1.0,1.0,47,,,,,0.5322849750518799,
7,,,47,,,0.5333516597747803,,,
8,,,49,,,,0.5157634019851685,,
,,,24,,,,,,0.3791344165802002
,,,25,,,,,,0.5626100301742554
,,,26,,,,,,0.680033802986145
8,1.0,1.0,53,,,,,0.5279163122177124,
8,,,53,,,0.5276773571968079,,,
9,,,59,,,,0.5139336585998535,,
,,,27,,,,,,0.3746921420097351
,,,28,,,,,,0.5597275495529175
,,,29,,,,,,0.6776041984558105
9,1.0,1.0,59,,,,,0.5245901346206665,
9,,,59,,,0.5245780944824219,,,
,,,30,,,,,,0.3696839511394501
,,,31,,,,,,0.556344747543335
,,,32,,,,,,0.6746209859848022
10,1.0,1.0,65,,,,,0.5207252502441406,
10,,,65,,,0.522341251373291,,,
11,,,69,,,,0.5335733890533447,,
,,,33,,,,,,0.3658984303474426
,,,34,,,,,,0.5538184642791748
,,,35,,,,,,0.6722885966300964
11,1.0,1.0,71,,,,,0.5177938938140869,
11,,,71,,,0.5190803408622742,,,
,,,36,,,,,,0.3617789149284363
,,,37,,,,,,0.5510683059692383
,,,38,,,,,,0.6697391271591187
12,1.0,1.0,77,,,,,0.5146005749702454,
12,,,77,,,0.5144954323768616,,,
13,,,79,,,,0.5082636475563049,,
,,,39,,,,,,0.35855573415756226
,,,40,,,,,,0.5479373335838318
,,,41,,,,,,0.6663217544555664
13,1.0,1.0,83,,,,,0.5113579630851746,
13,,,83,,,0.5099607706069946,,,
14,,,89,,,,0.5711585879325867,,
,,,42,,,,,,0.3540056347846985
,,,43,,,,,,0.5448832511901855
,,,44,,,,,,0.6634957790374756
14,1.0,1.0,89,,,,,0.5078220963478088,
14,,,89,,,0.5089642405509949,,,
,,,45,,,,,,0.3516136407852173
,,,46,,,,,,0.542624831199646
,,,47,,,,,,0.6608011722564697
15,1.0,1.0,95,,,,,0.5053961277008057,
15,,,95,,,0.5063219666481018,,,
16,,,99,,,,0.5045745372772217,,
,,,48,,,,,,0.3497597277164459
,,,49,,,,,,0.5410972833633423
,,,50,,,,,,0.6589371562004089
16,1.0,1.0,101,,,,,0.5036581158638,
16,,,101,,,0.5065948367118835,,,
,,,51,,,,,,0.3498554229736328
,,,52,,,,,,0.5390628576278687
,,,53,,,,,,0.6555312871932983
17,1.0,1.0,107,,,,,0.502024233341217,
17,,,107,,,0.5013464093208313,,,
18,,,109,,,,0.5263029336929321,,
,,,54,,,,,,0.3475896120071411
,,,55,,,,,,0.5356887578964233
,,,56,,,,,,0.6510913372039795
18,1.0,1.0,113,,,,,0.49876248836517334,
18,,,113,,,0.5013341307640076,,,
19,,,119,,,,0.5208897590637207,,
,,,57,,,,,,0.3457542061805725
,,,58,,,,,,0.5334300994873047
,,,59,,,,,,0.6481357216835022
19,1.0,1.0,119,,,,,0.4964676797389984,
19,,,119,,,0.49927279353141785,,,
,,,0,,0.3457542061805725,,,,
,,,1,,0.5334300994873047,,,,
,,,2,,0.6481357216835022,,,,
20,,,120,0.4964676797389984,,,,,
