epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.4574604630470276
,,,1,,,,,,0.6233137845993042
,,,2,,,,,,0.7263059020042419
0,0.32824426889419556,0.2443181872367859,5,,,,,0.5910922884941101,
0,,,5,,,0.6331525444984436,,,
1,,,9,,,,0.6240949630737305,,
,,,3,,,,,,0.4399113059043884
,,,4,,,,,,0.6196264028549194
,,,5,,,,,,0.7263292670249939
1,0.32824426889419556,0.2443181872367859,11,,,,,0.5833761692047119,
1,,,11,,,0.6100848317146301,,,
,,,6,,,,,,0.42566266655921936
,,,7,,,,,,0.6158806681632996
,,,8,,,,,,0.7260078191757202
2,0.32824426889419556,0.2443181872367859,17,,,,,0.5767451524734497,
2,,,17,,,0.5928795337677002,,,
3,,,19,,,,0.5756039619445801,,
,,,9,,,,,,0.4110606908798218
,,,10,,,,,,0.6115203499794006
,,,11,,,,,,0.7253171801567078
3,0.32824426889419556,0.2443181872367859,23,,,,,0.5696614384651184,
3,,,23,,,0.5813587307929993,,,
4,,,29,,,,0.5958905220031738,,
,,,12,,,,,,0.39582037925720215
,,,13,,,,,,0.6063839197158813
,,,14,,,,,,0.7241250872612
4,0.32824426889419556,0.2443181872367859,29,,,,,0.5619266033172607,
4,,,29,,,0.5722431540489197,,,
,,,15,,,,,,0.38529172539711
,,,16,,,,,,0.6013434529304504
,,,17,,,,,,0.7211048603057861
5,0.32824426889419556,0.2443181872367859,35,,,,,0.5554414391517639,
5,,,35,,,0.5589799880981445,,,
6,,,39,,,,0.5743106603622437,,
,,,18,,,,,,0.37838178873062134
,,,19,,,,,,0.5980566740036011
,,,20,,,,,,0.7189584970474243
6,0.32824426889419556,0.2443181872367859,41,,,,,0.5511481761932373,
6,,,41,,,0.5520368218421936,,,
,,,21,,,,,,0.37188535928726196
,,,22,,,,,,0.5939191579818726
,,,23,,,,,,0.715397834777832
7,0.32824426889419556,0.2443181872367859,47,,,,,0.5463101863861084,
7,,,47,,,0.5477228760719299,,,
8,,,49,,,,0.5666892528533936,,
,,,24,,,,,,0.3669102191925049
,,,25,,,,,,0.5901452302932739
,,,26,,,,,,0.7118792533874512
8,0.32824426889419556,0.2443181872367859,53,,,,,0.5421690344810486,
8,,,53,,,0.5411693453788757,,,
9,,,59,,,,0.5479206442832947,,
,,,27,,,,,,0.3641161024570465
,,,28,,,,,,0.5870038270950317
,,,29,,,,,,0.7082056403160095
9,0.32824426889419556,0.2443181872367859,59,,,,,0.5390087366104126,
9,,,59,,,0.537771463394165,,,
,,,30,,,,,,0.36045581102371216
,,,31,,,,,,0.5838156938552856
,,,32,,,,,,0.7047569155693054
10,0.32824426889419556,0.2443181872367859,65,,,,,0.5355778336524963,
10,,,65,,,0.5338630676269531,,,
11,,,69,,,,0.48963332176208496,,
,,,33,,,,,,0.357655793428421
,,,34,,,,,,0.5803635120391846
,,,35,,,,,,0.7004806995391846
11,0.32824426889419556,0.2443181872367859,71,,,,,0.5321381092071533,
11,,,71,,,0.5334786176681519,,,
,,,36,,,,,,0.35460397601127625
,,,37,,,,,,0.5770177245140076
,,,38,,,,,,0.6965133547782898
12,0.32824426889419556,0.2443181872367859,77,,,,,0.5287296772003174,
12,,,77,,,0.5295432806015015,,,
13,,,79,,,,0.5249080657958984,,
,,,39,,,,,,0.35129716992378235
,,,40,,,,,,0.5735737085342407
,,,41,,,,,,0.6925339698791504
13,0.9086663126945496,0.9215686321258545,83,,,,,0.5251895785331726,
13,,,83,,,0.5245598554611206,,,
14,,,89,,,,0.47382569313049316,,
,,,42,,,,,,0.3518359065055847
,,,43,,,,,,0.5705271363258362
,,,44,,,,,,0.6876487731933594
14,1.0,1.0,89,,,,,0.5229453444480896,
14,,,89,,,0.523875892162323,,,
,,,45,,,,,,0.3507770299911499
,,,46,,,,,,0.567870557308197
,,,47,,,,,,0.683891773223877
15,1.0,1.0,95,,,,,0.5205696225166321,
15,,,95,,,0.5184405446052551,,,
16,,,99,,,,0.4707193970680237,,
,,,48,,,,,,0.35098594427108765
,,,49,,,,,,0.5651724338531494
,,,50,,,,,,0.6797751188278198
16,1.0,1.0,101,,,,,0.518541693687439,
16,,,101,,,0.5197929739952087,,,
,,,51,,,,,,0.3498365581035614
,,,52,,,,,,0.561576783657074
,,,53,,,,,,0.6747669577598572
17,1.0,1.0,107,,,,,0.5154504179954529,
17,,,107,,,0.5123463273048401,,,
18,,,109,,,,0.50522780418396,,
,,,54,,,,,,0.349799245595932
,,,55,,,,,,0.5592723488807678
,,,56,,,,,,0.6713261604309082
18,1.0,1.0,113,,,,,0.5136604309082031,
18,,,113,,,0.5089742541313171,,,
19,,,119,,,,0.5558701753616333,,
,,,57,,,,,,0.34709978103637695
,,,58,,,,,,0.5560703277587891
,,,59,,,,,,0.6674764156341553
19,1.0,1.0,119,,,,,0.5104644894599915,
19,,,119,,,0.505761444568634,,,
,,,0,,0.34709978103637695,,,,
,,,1,,0.5560703277587891,,,,
,,,2,,0.6674764156341553,,,,
20,,,120,0.5104644894599915,,,,,
